,video_id,video_url,youtube_url,duration_seconds,annotations,seconds_annotated,cutting,tying,suturing,quality,severe_jumps,style
0,BWGNKectNVA,https://marvl-surgery.s3.amazonaws.com/videos/BWGNKectNVA.mp4,https://www.youtube.com/watch?v=BWGNKectNVA,592.0,13,241,2,0,11,good,no,non_overhead
1,TZ9IgsIMRW4,https://marvl-surgery.s3.amazonaws.com/videos/TZ9IgsIMRW4.mp4,https://www.youtube.com/watch?v=TZ9IgsIMRW4,306.0,6,129,4,1,1,bad,no,non_overhead
2,1yd_OrU2apY,https://marvl-surgery.s3.amazonaws.com/videos/1yd_OrU2apY.mp4,https://www.youtube.com/watch?v=1yd_OrU2apY,1173.0,30,605,18,6,6,okay,yes,non_overhead
3,1EBmECJP-Vk,https://marvl-surgery.s3.amazonaws.com/videos/1EBmECJP-Vk.mp4,https://www.youtube.com/watch?v=1EBmECJP-Vk,312.0,4,82,4,0,0,okay,no,non_overhead
4,Epicflt4WBQ,https://marvl-surgery.s3.amazonaws.com/videos/Epicflt4WBQ.mp4,https://www.youtube.com/watch?v=Epicflt4WBQ,380.0,3,11,0,1,2,okay,no,non_overhead
5,xh9XtKhfzKU,https://marvl-surgery.s3.amazonaws.com/videos/xh9XtKhfzKU.mp4,https://www.youtube.com/watch?v=xh9XtKhfzKU,563.0,2,34,2,0,0,bad,no,non_overhead
6,GQQzVPySxPI,https://marvl-surgery.s3.amazonaws.com/videos/GQQzVPySxPI.mp4,https://www.youtube.com/watch?v=GQQzVPySxPI,451.0,16,285,5,4,7,good,no,non_overhead
7,eYrOeMtk0ng,https://marvl-surgery.s3.amazonaws.com/videos/eYrOeMtk0ng.mp4,https://www.youtube.com/watch?v=eYrOeMtk0ng,1062.0,23,457,3,8,12,okay,no,non_overhead
8,feF1aRtVAvc,https://marvl-surgery.s3.amazonaws.com/videos/feF1aRtVAvc.mp4,https://www.youtube.com/watch?v=feF1aRtVAvc,835.0,12,357,2,3,7,good,no,non_overhead
9,V7vkRKaUkn8,https://marvl-surgery.s3.amazonaws.com/videos/V7vkRKaUkn8.mp4,https://www.youtube.com/watch?v=V7vkRKaUkn8,750.0,19,99,17,1,1,bad,yes,non_overhead
10,l5h_tOU_D9w,https://marvl-surgery.s3.amazonaws.com/videos/l5h_tOU_D9w.mp4,https://www.youtube.com/watch?v=l5h_tOU_D9w,52.0,1,16,1,0,0,good,no,non_overhead
11,AjwzlmTvT8A,https://marvl-surgery.s3.amazonaws.com/videos/AjwzlmTvT8A.mp4,https://www.youtube.com/watch?v=AjwzlmTvT8A,96.0,2,55,2,0,0,bad,no,non_overhead
12,IJuourlriwc,https://marvl-surgery.s3.amazonaws.com/videos/IJuourlriwc.mp4,https://www.youtube.com/watch?v=IJuourlriwc,205.0,5,86,1,2,2,okay,no,non_overhead
13,D11S93t3QiU,https://marvl-surgery.s3.amazonaws.com/videos/D11S93t3QiU.mp4,https://www.youtube.com/watch?v=D11S93t3QiU,76.0,3,12,1,1,1,okay,no,non_overhead
14,F5wtY4Ns4nA,https://marvl-surgery.s3.amazonaws.com/videos/F5wtY4Ns4nA.mp4,https://www.youtube.com/watch?v=F5wtY4Ns4nA,1465.0,17,331,6,0,11,good,no,non_overhead
15,IqpcBRQMOak,https://marvl-surgery.s3.amazonaws.com/videos/IqpcBRQMOak.mp4,https://www.youtube.com/watch?v=IqpcBRQMOak,531.0,5,106,5,0,0,okay,no,non_overhead
16,oD5gC2ESBnk,https://marvl-surgery.s3.amazonaws.com/videos/oD5gC2ESBnk.mp4,https://www.youtube.com/watch?v=oD5gC2ESBnk,1691.0,6,199,6,0,0,okay,yes,non_overhead
17,cpgMJ7KOVl8,https://marvl-surgery.s3.amazonaws.com/videos/cpgMJ7KOVl8.mp4,https://www.youtube.com/watch?v=cpgMJ7KOVl8,385.0,3,329,2,0,1,okay,no,non_overhead
18,TcYgRmsw_jg,https://marvl-surgery.s3.amazonaws.com/videos/TcYgRmsw_jg.mp4,https://www.youtube.com/watch?v=TcYgRmsw_jg,244.0,3,64,1,0,2,okay,no,non_overhead
19,opbgCSvNKfY,https://marvl-surgery.s3.amazonaws.com/videos/opbgCSvNKfY.mp4,https://www.youtube.com/watch?v=opbgCSvNKfY,853.0,31,372,21,3,7,good,no,non_overhead
20,RWHBTwfa5C8,https://marvl-surgery.s3.amazonaws.com/videos/RWHBTwfa5C8.mp4,https://www.youtube.com/watch?v=RWHBTwfa5C8,597.0,3,19,0,1,2,okay,no,non_overhead
21,-DGQsmwXmLg,https://marvl-surgery.s3.amazonaws.com/videos/-DGQsmwXmLg.mp4,https://www.youtube.com/watch?v=-DGQsmwXmLg,219.0,1,95,1,0,0,good,no,non_overhead
22,dPvRrcSsc6Y,https://marvl-surgery.s3.amazonaws.com/videos/dPvRrcSsc6Y.mp4,https://www.youtube.com/watch?v=dPvRrcSsc6Y,222.0,2,62,2,0,0,bad,no,non_overhead
23,ZwdbtYzY_6s,https://marvl-surgery.s3.amazonaws.com/videos/ZwdbtYzY_6s.mp4,https://www.youtube.com/watch?v=ZwdbtYzY_6s,339.0,14,216,3,6,5,okay,no,non_overhead
24,lBmRC9LhFgw,https://marvl-surgery.s3.amazonaws.com/videos/lBmRC9LhFgw.mp4,https://www.youtube.com/watch?v=lBmRC9LhFgw,514.0,4,78,1,0,3,okay,no,non_overhead
25,JuUFXltasaU,https://marvl-surgery.s3.amazonaws.com/videos/JuUFXltasaU.mp4,https://www.youtube.com/watch?v=JuUFXltasaU,434.0,12,175,2,5,5,bad,no,non_overhead
26,c7zxUjQSusQ,https://marvl-surgery.s3.amazonaws.com/videos/c7zxUjQSusQ.mp4,https://www.youtube.com/watch?v=c7zxUjQSusQ,467.0,16,163,2,7,7,okay,yes,non_overhead
27,giVy41llq00,https://marvl-surgery.s3.amazonaws.com/videos/giVy41llq00.mp4,https://www.youtube.com/watch?v=giVy41llq00,262.0,8,84,1,0,7,okay,no,non_overhead
28,nwqyKvQ_mNk,https://marvl-surgery.s3.amazonaws.com/videos/nwqyKvQ_mNk.mp4,https://www.youtube.com/watch?v=nwqyKvQ_mNk,738.0,6,63,1,2,3,bad,no,non_overhead
29,lMmYj17LdbM,https://marvl-surgery.s3.amazonaws.com/videos/lMmYj17LdbM.mp4,https://www.youtube.com/watch?v=lMmYj17LdbM,357.0,3,41,3,0,0,good,no,non_overhead
30,PCyfP8I87AI,https://marvl-surgery.s3.amazonaws.com/videos/PCyfP8I87AI.mp4,https://www.youtube.com/watch?v=PCyfP8I87AI,738.0,9,143,5,1,3,bad,no,non_overhead
31,6idNh90AdtA,https://marvl-surgery.s3.amazonaws.com/videos/6idNh90AdtA.mp4,https://www.youtube.com/watch?v=6idNh90AdtA,563.0,13,93,7,1,5,okay,yes,non_overhead
32,884CY5zcTr4,https://marvl-surgery.s3.amazonaws.com/videos/884CY5zcTr4.mp4,https://www.youtube.com/watch?v=884CY5zcTr4,733.0,1,4,1,0,0,bad,no,non_overhead
33,HSXoe4PkkWI,https://marvl-surgery.s3.amazonaws.com/videos/HSXoe4PkkWI.mp4,https://www.youtube.com/watch?v=HSXoe4PkkWI,1575.0,57,1086,17,19,21,okay,no,non_overhead
34,hKgkoj8kaHo,https://marvl-surgery.s3.amazonaws.com/videos/hKgkoj8kaHo.mp4,https://www.youtube.com/watch?v=hKgkoj8kaHo,243.0,7,134,5,0,2,okay,no,non_overhead
35,rzKGRcXNXm4,https://marvl-surgery.s3.amazonaws.com/videos/rzKGRcXNXm4.mp4,https://www.youtube.com/watch?v=rzKGRcXNXm4,417.0,12,92,0,1,11,good,no,non_overhead
36,a4M6zT_PTQg,https://marvl-surgery.s3.amazonaws.com/videos/a4M6zT_PTQg.mp4,https://www.youtube.com/watch?v=a4M6zT_PTQg,245.0,6,234,1,2,3,okay,no,non_overhead
37,8LGGfKHtiPc,https://marvl-surgery.s3.amazonaws.com/videos/8LGGfKHtiPc.mp4,https://www.youtube.com/watch?v=8LGGfKHtiPc,197.0,14,83,4,4,6,okay,no,non_overhead
38,nX4--aHdAkM,https://marvl-surgery.s3.amazonaws.com/videos/nX4--aHdAkM.mp4,https://www.youtube.com/watch?v=nX4--aHdAkM,517.0,6,71,4,1,1,bad,no,non_overhead
39,erUVkDi6KqY,https://marvl-surgery.s3.amazonaws.com/videos/erUVkDi6KqY.mp4,https://www.youtube.com/watch?v=erUVkDi6KqY,838.0,8,193,5,2,1,okay,no,non_overhead
40,hQGTpK3CbpE,https://marvl-surgery.s3.amazonaws.com/videos/hQGTpK3CbpE.mp4,https://www.youtube.com/watch?v=hQGTpK3CbpE,449.0,2,26,1,0,1,good,yes,non_overhead
41,kipTlXQpPZw,https://marvl-surgery.s3.amazonaws.com/videos/kipTlXQpPZw.mp4,https://www.youtube.com/watch?v=kipTlXQpPZw,763.0,1,29,1,0,0,good,no,non_overhead
42,ftkqy5JBuSM,https://marvl-surgery.s3.amazonaws.com/videos/ftkqy5JBuSM.mp4,https://www.youtube.com/watch?v=ftkqy5JBuSM,296.0,8,34,2,2,4,bad,no,non_overhead
43,vmJjIIt-wAY,https://marvl-surgery.s3.amazonaws.com/videos/vmJjIIt-wAY.mp4,https://www.youtube.com/watch?v=vmJjIIt-wAY,0.0,4,68,1,0,3,bad,yes,non_overhead
44,Vnab8vZQcK8,https://marvl-surgery.s3.amazonaws.com/videos/Vnab8vZQcK8.mp4,https://www.youtube.com/watch?v=Vnab8vZQcK8,285.0,2,11,2,0,0,bad,yes,non_overhead
45,V3Fd-cRcdCA,https://marvl-surgery.s3.amazonaws.com/videos/V3Fd-cRcdCA.mp4,https://www.youtube.com/watch?v=V3Fd-cRcdCA,417.0,9,254,5,0,4,bad,no,non_overhead
46,ZXQPWRUdFqc,https://marvl-surgery.s3.amazonaws.com/videos/ZXQPWRUdFqc.mp4,https://www.youtube.com/watch?v=ZXQPWRUdFqc,270.0,6,99,3,2,1,bad,no,non_overhead
47,wDu9VyqfNu8,https://marvl-surgery.s3.amazonaws.com/videos/wDu9VyqfNu8.mp4,https://www.youtube.com/watch?v=wDu9VyqfNu8,901.0,20,250,1,11,8,good,no,non_overhead
48,AK8N5NoWlAI,https://marvl-surgery.s3.amazonaws.com/videos/AK8N5NoWlAI.mp4,https://www.youtube.com/watch?v=AK8N5NoWlAI,1375.0,9,151,7,1,1,bad,yes,non_overhead
49,YFs_AfPeK84,https://marvl-surgery.s3.amazonaws.com/videos/YFs_AfPeK84.mp4,https://www.youtube.com/watch?v=YFs_AfPeK84,388.0,2,101,1,1,0,okay,yes,non_overhead
50,kcOqlifSukA,https://marvl-surgery.s3.amazonaws.com/videos/kcOqlifSukA.mp4,https://www.youtube.com/watch?v=kcOqlifSukA,1856.0,40,883,23,5,12,okay,no,non_overhead
51,OXlUtv2DIzY,https://marvl-surgery.s3.amazonaws.com/videos/OXlUtv2DIzY.mp4,https://www.youtube.com/watch?v=OXlUtv2DIzY,797.0,34,349,7,13,14,okay,no,overhead
52,FotC4hB7Y0c,https://marvl-surgery.s3.amazonaws.com/videos/FotC4hB7Y0c.mp4,https://www.youtube.com/watch?v=FotC4hB7Y0c,219.0,20,117,8,5,7,good,no,overhead
53,8cT4CV1gkAA,https://marvl-surgery.s3.amazonaws.com/videos/8cT4CV1gkAA.mp4,https://www.youtube.com/watch?v=8cT4CV1gkAA,623.0,1,5,1,0,0,good,no,non_overhead
54,daht-zR1G4s,https://marvl-surgery.s3.amazonaws.com/videos/daht-zR1G4s.mp4,https://www.youtube.com/watch?v=daht-zR1G4s,391.0,21,112,11,6,4,good,no,non_overhead
55,WJ2jS88EUmo,https://marvl-surgery.s3.amazonaws.com/videos/WJ2jS88EUmo.mp4,https://www.youtube.com/watch?v=WJ2jS88EUmo,560.0,16,206,7,5,4,okay,no,non_overhead
56,HW2LXjSoAc8,https://marvl-surgery.s3.amazonaws.com/videos/HW2LXjSoAc8.mp4,https://www.youtube.com/watch?v=HW2LXjSoAc8,232.0,6,166,5,0,1,okay,no,non_overhead
57,K41gnfWPuhE,https://marvl-surgery.s3.amazonaws.com/videos/K41gnfWPuhE.mp4,https://www.youtube.com/watch?v=K41gnfWPuhE,456.0,4,247,4,0,0,okay,no,non_overhead
58,PyIDO9qA2_g,https://marvl-surgery.s3.amazonaws.com/videos/PyIDO9qA2_g.mp4,https://www.youtube.com/watch?v=PyIDO9qA2_g,217.0,5,140,5,0,0,bad,no,non_overhead
59,PqGpbc330j8,https://marvl-surgery.s3.amazonaws.com/videos/PqGpbc330j8.mp4,https://www.youtube.com/watch?v=PqGpbc330j8,90.0,3,56,1,0,2,good,no,non_overhead
60,5T2o554MNo0,https://marvl-surgery.s3.amazonaws.com/videos/5T2o554MNo0.mp4,https://www.youtube.com/watch?v=5T2o554MNo0,130.0,6,86,3,1,2,bad,no,non_overhead
61,wmDkmO4PAYI,https://marvl-surgery.s3.amazonaws.com/videos/wmDkmO4PAYI.mp4,https://www.youtube.com/watch?v=wmDkmO4PAYI,748.0,5,48,2,1,2,okay,no,non_overhead
62,iM5tFoqLX6Q,https://marvl-surgery.s3.amazonaws.com/videos/iM5tFoqLX6Q.mp4,https://www.youtube.com/watch?v=iM5tFoqLX6Q,217.0,2,14,1,1,0,good,no,non_overhead
63,rmcomZXiud4,https://marvl-surgery.s3.amazonaws.com/videos/rmcomZXiud4.mp4,https://www.youtube.com/watch?v=rmcomZXiud4,141.0,2,48,2,0,0,good,no,non_overhead
64,hqeq7pZOTgY,https://marvl-surgery.s3.amazonaws.com/videos/hqeq7pZOTgY.mp4,https://www.youtube.com/watch?v=hqeq7pZOTgY,522.0,11,162,0,0,11,okay,no,non_overhead
65,S4p9MmTfVTs,https://marvl-surgery.s3.amazonaws.com/videos/S4p9MmTfVTs.mp4,https://www.youtube.com/watch?v=S4p9MmTfVTs,483.0,13,126,3,6,4,okay,yes,overhead
66,OMK_iNu3gIE,https://marvl-surgery.s3.amazonaws.com/videos/OMK_iNu3gIE.mp4,https://www.youtube.com/watch?v=OMK_iNu3gIE,752.0,94,485,85,5,4,good,no,overhead
67,OsYDOBpXC48,https://marvl-surgery.s3.amazonaws.com/videos/OsYDOBpXC48.mp4,https://www.youtube.com/watch?v=OsYDOBpXC48,354.0,15,83,11,1,3,good,no,overhead
68,SNsUtI82de8,https://marvl-surgery.s3.amazonaws.com/videos/SNsUtI82de8.mp4,https://www.youtube.com/watch?v=SNsUtI82de8,1239.0,2,50,2,0,0,okay,no,non_overhead
69,QbOhP0qTXM4,https://marvl-surgery.s3.amazonaws.com/videos/QbOhP0qTXM4.mp4,https://www.youtube.com/watch?v=QbOhP0qTXM4,112.0,1,7,1,0,0,good,no,non_overhead
70,y0ie8xT6Hx0,https://marvl-surgery.s3.amazonaws.com/videos/y0ie8xT6Hx0.mp4,https://www.youtube.com/watch?v=y0ie8xT6Hx0,245.0,2,152,2,0,0,okay,no,non_overhead
71,bgWCyjuumn0,https://marvl-surgery.s3.amazonaws.com/videos/bgWCyjuumn0.mp4,https://www.youtube.com/watch?v=bgWCyjuumn0,351.0,1,21,1,0,0,bad,no,non_overhead
72,E8UPLNhr2B4,https://marvl-surgery.s3.amazonaws.com/videos/E8UPLNhr2B4.mp4,https://www.youtube.com/watch?v=E8UPLNhr2B4,332.0,15,58,4,5,6,good,no,non_overhead
73,AYt94DNtKXU,https://marvl-surgery.s3.amazonaws.com/videos/AYt94DNtKXU.mp4,https://www.youtube.com/watch?v=AYt94DNtKXU,0.0,14,359,10,1,3,okay,yes,non_overhead
74,pZNG2IN5ixo,https://marvl-surgery.s3.amazonaws.com/videos/pZNG2IN5ixo.mp4,https://www.youtube.com/watch?v=pZNG2IN5ixo,197.0,2,30,2,0,0,good,no,non_overhead
75,sIr0IxtC7C4,https://marvl-surgery.s3.amazonaws.com/videos/sIr0IxtC7C4.mp4,https://www.youtube.com/watch?v=sIr0IxtC7C4,376.0,5,73,3,0,2,okay,yes,non_overhead
76,WR8G3F2TDxI,https://marvl-surgery.s3.amazonaws.com/videos/WR8G3F2TDxI.mp4,https://www.youtube.com/watch?v=WR8G3F2TDxI,699.0,13,170,8,0,5,okay,no,non_overhead
77,_35HaYVPBIA,https://marvl-surgery.s3.amazonaws.com/videos/_35HaYVPBIA.mp4,https://www.youtube.com/watch?v=_35HaYVPBIA,123.0,1,9,1,0,0,bad,no,non_overhead
78,7d19RiHEBjQ,https://marvl-surgery.s3.amazonaws.com/videos/7d19RiHEBjQ.mp4,https://www.youtube.com/watch?v=7d19RiHEBjQ,299.0,1,16,1,0,0,bad,no,non_overhead
79,EWra7VzEiS4,https://marvl-surgery.s3.amazonaws.com/videos/EWra7VzEiS4.mp4,https://www.youtube.com/watch?v=EWra7VzEiS4,804.0,3,90,3,0,0,good,no,non_overhead
80,wZ2LvPEP84g,https://marvl-surgery.s3.amazonaws.com/videos/wZ2LvPEP84g.mp4,https://www.youtube.com/watch?v=wZ2LvPEP84g,809.0,17,145,2,10,5,okay,no,non_overhead
81,T5sNqOFwTfQ,https://marvl-surgery.s3.amazonaws.com/videos/T5sNqOFwTfQ.mp4,https://www.youtube.com/watch?v=T5sNqOFwTfQ,522.0,9,420,9,0,0,good,no,non_overhead
82,Tg3Pg6f-mjg,https://marvl-surgery.s3.amazonaws.com/videos/Tg3Pg6f-mjg.mp4,https://www.youtube.com/watch?v=Tg3Pg6f-mjg,317.0,9,124,1,6,2,good,no,non_overhead
83,-3gFrKiC99I,https://marvl-surgery.s3.amazonaws.com/videos/-3gFrKiC99I.mp4,https://www.youtube.com/watch?v=-3gFrKiC99I,801.0,59,298,23,5,31,good,no,non_overhead
84,x301dRwjBt0,https://marvl-surgery.s3.amazonaws.com/videos/x301dRwjBt0.mp4,https://www.youtube.com/watch?v=x301dRwjBt0,263.0,3,110,2,0,1,bad,no,non_overhead
85,mDvZwgwQ2oc,https://marvl-surgery.s3.amazonaws.com/videos/mDvZwgwQ2oc.mp4,https://www.youtube.com/watch?v=mDvZwgwQ2oc,138.0,3,59,2,1,0,good,no,overhead
86,M2PTmXVatbQ,https://marvl-surgery.s3.amazonaws.com/videos/M2PTmXVatbQ.mp4,https://www.youtube.com/watch?v=M2PTmXVatbQ,421.0,14,186,3,3,8,good,no,non_overhead
87,StuUjtXj6u8,https://marvl-surgery.s3.amazonaws.com/videos/StuUjtXj6u8.mp4,https://www.youtube.com/watch?v=StuUjtXj6u8,269.0,5,59,4,0,1,okay,no,non_overhead
88,JjzptNEQJ2g,https://marvl-surgery.s3.amazonaws.com/videos/JjzptNEQJ2g.mp4,https://www.youtube.com/watch?v=JjzptNEQJ2g,277.0,2,40,2,0,0,bad,no,non_overhead
89,1PwQrgU2Lic,https://marvl-surgery.s3.amazonaws.com/videos/1PwQrgU2Lic.mp4,https://www.youtube.com/watch?v=1PwQrgU2Lic,1345.0,25,408,23,1,1,okay,yes,non_overhead
90,kRWNgDQ-WcU,https://marvl-surgery.s3.amazonaws.com/videos/kRWNgDQ-WcU.mp4,https://www.youtube.com/watch?v=kRWNgDQ-WcU,832.0,33,485,9,11,13,okay,no,non_overhead
91,En4tbEsYKwI,https://marvl-surgery.s3.amazonaws.com/videos/En4tbEsYKwI.mp4,https://www.youtube.com/watch?v=En4tbEsYKwI,193.0,4,75,4,0,0,bad,no,non_overhead
92,dLap-hcBxc0,https://marvl-surgery.s3.amazonaws.com/videos/dLap-hcBxc0.mp4,https://www.youtube.com/watch?v=dLap-hcBxc0,153.0,2,9,2,0,0,good,yes,non_overhead
93,MQ0w6hXABDc,https://marvl-surgery.s3.amazonaws.com/videos/MQ0w6hXABDc.mp4,https://www.youtube.com/watch?v=MQ0w6hXABDc,561.0,1,12,1,0,0,bad,no,non_overhead
94,DpeAsOXVruw,https://marvl-surgery.s3.amazonaws.com/videos/DpeAsOXVruw.mp4,https://www.youtube.com/watch?v=DpeAsOXVruw,449.0,12,74,3,3,6,bad,yes,non_overhead
95,wVszq_SYrAQ,https://marvl-surgery.s3.amazonaws.com/videos/wVszq_SYrAQ.mp4,https://www.youtube.com/watch?v=wVszq_SYrAQ,487.0,8,182,8,0,0,okay,no,non_overhead
96,GkKGPN4gado,https://marvl-surgery.s3.amazonaws.com/videos/GkKGPN4gado.mp4,https://www.youtube.com/watch?v=GkKGPN4gado,284.0,7,226,2,1,4,good,no,non_overhead
97,3Fx1EiO5iRY,https://marvl-surgery.s3.amazonaws.com/videos/3Fx1EiO5iRY.mp4,https://www.youtube.com/watch?v=3Fx1EiO5iRY,684.0,34,178,19,4,11,good,no,non_overhead
98,FMLfc2V18HY,https://marvl-surgery.s3.amazonaws.com/videos/FMLfc2V18HY.mp4,https://www.youtube.com/watch?v=FMLfc2V18HY,448.0,2,14,1,0,1,okay,yes,non_overhead
99,HP8pRJsWlGk,https://marvl-surgery.s3.amazonaws.com/videos/HP8pRJsWlGk.mp4,https://www.youtube.com/watch?v=HP8pRJsWlGk,995.0,8,52,3,0,5,good,no,non_overhead
100,DM3aDFlbh9A,https://marvl-surgery.s3.amazonaws.com/videos/DM3aDFlbh9A.mp4,https://www.youtube.com/watch?v=DM3aDFlbh9A,1082.0,13,371,6,3,4,okay,no,non_overhead
101,uGT08nyk7qA,https://marvl-surgery.s3.amazonaws.com/videos/uGT08nyk7qA.mp4,https://www.youtube.com/watch?v=uGT08nyk7qA,666.0,2,32,2,0,0,good,no,non_overhead
102,NL72fNR2hSM,https://marvl-surgery.s3.amazonaws.com/videos/NL72fNR2hSM.mp4,https://www.youtube.com/watch?v=NL72fNR2hSM,354.0,2,74,2,0,0,bad,no,non_overhead
103,EswP8VDC85s,https://marvl-surgery.s3.amazonaws.com/videos/EswP8VDC85s.mp4,https://www.youtube.com/watch?v=EswP8VDC85s,81.0,2,54,1,0,1,good,no,non_overhead
104,S1R95eOuSNk,https://marvl-surgery.s3.amazonaws.com/videos/S1R95eOuSNk.mp4,https://www.youtube.com/watch?v=S1R95eOuSNk,409.0,5,212,1,4,0,good,no,non_overhead
105,axVfF8m0LCU,https://marvl-surgery.s3.amazonaws.com/videos/axVfF8m0LCU.mp4,https://www.youtube.com/watch?v=axVfF8m0LCU,283.0,1,15,1,0,0,bad,no,non_overhead
106,txCYSkZIrjE,https://marvl-surgery.s3.amazonaws.com/videos/txCYSkZIrjE.mp4,https://www.youtube.com/watch?v=txCYSkZIrjE,742.0,58,306,48,8,2,okay,yes,non_overhead
107,LgmXCOICHLA,https://marvl-surgery.s3.amazonaws.com/videos/LgmXCOICHLA.mp4,https://www.youtube.com/watch?v=LgmXCOICHLA,266.0,11,107,0,5,6,okay,no,non_overhead
108,EUdac6A9n60,https://marvl-surgery.s3.amazonaws.com/videos/EUdac6A9n60.mp4,https://www.youtube.com/watch?v=EUdac6A9n60,565.0,5,59,3,2,0,okay,no,non_overhead
109,thgXniYmwII,https://marvl-surgery.s3.amazonaws.com/videos/thgXniYmwII.mp4,https://www.youtube.com/watch?v=thgXniYmwII,97.0,5,21,3,1,1,okay,no,non_overhead
110,h-Ma9JnznLc,https://marvl-surgery.s3.amazonaws.com/videos/h-Ma9JnznLc.mp4,https://www.youtube.com/watch?v=h-Ma9JnznLc,749.0,21,109,11,3,7,bad,yes,overhead
